"HPC","Feature","PIP","p_value","q_value","risk"
"hpc_32","CSNK2A1","0.18","0.82","1","high"
"hpc_31","CSNK2A1","0.185","0.815","1","high"
"hpc_39","CSNK2A1","0.162","0.838","1","high"
"hpc_37","CSNK2A1","0.181","0.819","1","high"
"hpc_22","CSNK2A1","0.167","0.833","1","high"
"hpc_21","CSNK2A1","0.201","0.799","1","high"
"hpc_3","CSNK2A1","0.186","0.814","1","high"
"hpc_27","CSNK2A1","0.209","0.791","1","high"
"hpc_41","CSNK2A1","0.529","0.471","1","high"
"hpc_1","EGF","0.092","0.908","1","high"
"hpc_0","EGF","0.248","0.752","1","high"
"hpc_14","EGF","0.095","0.905","1","high"
"hpc_10","EGF","0.248","0.752","1","high"
"hpc_7","CSNK2A1","0.165","0.835","1","high"
"hpc_44","CSNK2A1","0.181","0.819","1","high"
"hpc_9","CSNK2A1","0.137","0.863","1","high"
"hpc_8","CSNK2A1","0.3","0.7","1","high"
"hpc_22","CDK2","0.106","0.894","1","high"
"hpc_10","ATM","0.278","0.722","1","high"
"hpc_1","ATM","0.098","0.902","1","high"
"hpc_15","ATM","0.137","0.863","1","high"
"hpc_14","ATM","0.126","0.874","1","high"
"hpc_8","AKT1","0.105","0.895","1","high"
"hpc_7","AKT1","0.094","0.906","1","high"
"hpc_0","ATM","0.349","0.651","1","high"
"hpc_9","AKT1","0.1","0.9","1","high"
"hpc_16","ATM","0.122","0.878","1","high"
"hpc_31","ATM","0.16","0.84","1","high"
"hpc_3","ATM","0.104","0.896","1","high"
"hpc_37","ATM","0.135","0.865","1","high"
"hpc_32","ATM","0.136","0.864","1","high"
"hpc_21","ATM","0.108","0.892","1","high"
"hpc_20","ATM","0.124","0.876","1","high"
"hpc_27","ATM","0.18","0.82","1","high"
"hpc_22","ATM","0.11","0.89","1","high"
"hpc_16","AKT1","0.096","0.904","1","high"
"hpc_15","AKT1","0.103","0.897","1","high"
"hpc_21","AKT1","0.123","0.877","1","high"
"hpc_20","AKT1","0.113","0.887","1","high"
"hpc_1","AKT1","0.071","0.929","1","high"
"hpc_0","AKT1","0.275","0.725","1","high"
"hpc_14","AKT1","0.106","0.894","1","high"
"hpc_10","AKT1","0.298","0.702","1","high"
"hpc_22","AKT1","0.105","0.895","1","high"
"hpc_39","AKT1","0.12","0.88","1","high"
"hpc_37","AKT1","0.104","0.896","1","high"
"hpc_44","AKT1","0.099","0.901","1","high"
"hpc_41","AKT1","0.22","0.78","1","high"
"hpc_3","AKT1","0.105","0.895","1","high"
"hpc_27","AKT1","0.109","0.891","1","high"
"hpc_32","AKT1","0.114","0.886","1","high"
"hpc_31","AKT1","0.131","0.869","1","high"
"hpc_44","CDK1","0.104","0.896","1","high"
"hpc_41","CDK1","0.169","0.831","1","high"
"hpc_8","CDK1","0.127","0.873","1","high"
"hpc_7","CDK1","0.101","0.899","1","high"
"hpc_32","CDK1","0.127","0.873","1","high"
"hpc_31","CDK1","0.137","0.863","1","high"
"hpc_39","CDK1","0.123","0.877","1","high"
"hpc_37","CDK1","0.107","0.893","1","high"
"hpc_9","CDK1","0.115","0.885","1","high"
"hpc_16","CDK2","0.103","0.897","1","high"
"hpc_15","CDK2","0.092","0.908","1","high"
"hpc_21","CDK2","0.102","0.898","1","high"
"hpc_20","CDK2","0.113","0.887","1","high"
"hpc_1","CDK2","0.09","0.91","1","high"
"hpc_0","CDK2","0.235","0.765","1","high"
"hpc_14","CDK2","0.107","0.893","1","high"
"hpc_10","CDK2","0.195","0.805","1","high"
"hpc_9","ATM","0.113","0.887","1","high"
"hpc_8","ATM","0.135","0.865","1","high"
"hpc_1","CDK1","0.117","0.883","1","high"
"hpc_0","CDK1","0.239","0.761","1","high"
"hpc_41","ATM","0.219","0.781","1","high"
"hpc_39","ATM","0.134","0.866","1","high"
"hpc_7","ATM","0.112","0.888","1","high"
"hpc_44","ATM","0.132","0.868","1","high"
"hpc_10","CDK1","0.187","0.813","1","high"
"hpc_22","CDK1","0.106","0.894","1","high"
"hpc_21","CDK1","0.115","0.885","1","high"
"hpc_3","CDK1","0.105","0.895","1","high"
"hpc_27","CDK1","0.142","0.858","1","high"
"hpc_15","CDK1","0.115","0.885","1","high"
"hpc_14","CDK1","0.112","0.888","1","high"
"hpc_20","CDK1","0.122","0.878","1","high"
"hpc_16","CDK1","0.111","0.889","1","high"
"hpc_1","GSK3B","0.071","0.929","1","high"
"hpc_41","MAPK14","0.18","0.82","1","high"
"hpc_39","MAPK14","0.099","0.901","1","high"
"hpc_7","MAPK14","0.094","0.906","1","high"
"hpc_44","MAPK14","0.081","0.919","1","high"
"hpc_31","MAPK14","0.108","0.892","1","high"
"hpc_3","MAPK14","0.094","0.906","1","high"
"hpc_37","MAPK14","0.097","0.903","1","high"
"hpc_32","MAPK14","0.103","0.897","1","high"
"hpc_8","MAPK14","0.104","0.896","1","high"
"hpc_16","PLK1","0.221","0.779","1","high"
"hpc_15","PLK1","0.338","0.662","1","high"
"hpc_21","PLK1","0.265","0.735","1","high"
"hpc_20","PLK1","0.741","0.259","1","high"
"hpc_0","PLK1","0.763","0.237","1","high"
"hpc_9","MAPK14","0.108","0.892","1","high"
"hpc_14","PLK1","0.315","0.685","1","high"
"hpc_1","PLK1","0.401","0.599","1","high"
"hpc_8","MAPK1","0.09","0.91","1","high"
"hpc_7","MAPK1","0.103","0.897","1","high"
"hpc_0","MAPK14","0.195","0.805","1","high"
"hpc_9","MAPK1","0.1","0.9","1","high"
"hpc_39","MAPK1","0.111","0.889","1","high"
"hpc_37","MAPK1","0.099","0.901","1","high"
